cliente;ciudad;valor;tipo.cliente;forma de pago;dias de credito;descuentos especiales
12032;19;127.58;4;credito;30 dias;si
12068;19;377.15;13;credito;30 dias;si
12088;3;22.33;13;contado;3 dias;si
12104;19;82.07;4;credito;15 dias;no
12125;3;237;1;credito;30 dias;si
12157;2;280.74;4;credito;30 dias;si
12168;11;434.14;1;credito;30 dias;si
12712;8;417.96;4;credito;30 dias;si
12769;5;52.8;2;credito;15 dias;no
12781;11;170.61;13;credito;30 dias;si
12802;18;56.33;13;credito;15 dias;no
12818;11;27.05;13;contado;3 dias;si
12832;18;57.81;13;credito;15 dias;no
12872;19;19.33;13;contado;3 dias;si
12889;11;9.08;13;contado;3 dias;si
12939;19;94.49;7;credito;15 dias;no
12975;18;248.21;6;credito;30 dias;si
13050;2;105.23;7;credito;30 dias;si
13061;5;27.42;13;contado;3 dias;si
13066;6;40.94;13;contado;3 dias;si
13095;11;17.02;13;contado;3 dias;si
13166;19;69.4;6;credito;15 dias;no
13169;19;269.19;4;credito;30 dias;si
13203;19;22.01;4;contado;3 dias;si
13205;19;49.93;7;contado;3 dias;si
13207;5;9.29;13;contado;3 dias;si
13278;6;105.13;6;credito;30 dias;si
13283;18;80.8;4;credito;15 dias;no
13287;16;23.68;13;contado;3 dias;si
13291;11;18.76;13;contado;3 dias;si
13356;11;10.01;13;contado;3 dias;si
13373;6;659.32;4;credito;30 dias;si
13375;6;18.15;13;contado;3 dias;si
13377;6;7.07;13;contado;3 dias;si
13390;16;18.51;13;contado;3 dias;si
13394;3;151.52;5;credito;30 dias;si
13448;14;90.3;13;credito;15 dias;no
13451;18;77.45;6;credito;15 dias;no
13460;8;104.53;4;credito;30 dias;si
13471;16;47.57;6;contado;3 dias;si
13498;5;44.63;4;contado;3 dias;si
13541;11;70.06;4;credito;15 dias;no
13545;8;87.48;11;credito;15 dias;no
13548;15;92.19;13;credito;15 dias;no
13594;4;90.4;1;credito;15 dias;no
13605;6;12;13;contado;3 dias;si
13675;6;17.08;13;contado;3 dias;si
13678;8;64.94;4;credito;15 dias;no
13759;3;234.41;1;credito;30 dias;si
13772;1;184.57;1;credito;30 dias;si
13779;11;71.1;2;credito;15 dias;no
13783;11;65.38;13;credito;15 dias;no
13786;6;75.85;4;credito;15 dias;no
13795;8;111.76;6;credito;30 dias;si
13816;5;71.93;13;credito;15 dias;no
13820;19;73.68;4;credito;15 dias;no
13838;5;111.52;6;credito;30 dias;si
13844;9;76.66;13;credito;15 dias;no
13855;11;88.96;6;credito;15 dias;no
13865;9;126.74;6;credito;30 dias;si
13873;9;121.35;8;credito;30 dias;si
13887;4;60.18;4;credito;15 dias;no
13924;6;110.61;4;credito;30 dias;si
13926;19;31.15;13;contado;3 dias;si
13944;19;93.52;4;credito;15 dias;no
13945;5;62.34;13;credito;15 dias;no
13954;8;218.56;5;credito;30 dias;si
13965;3;21.65;4;contado;3 dias;si
13994;4;10.08;13;contado;3 dias;si
13995;18;58.68;4;credito;15 dias;no
13997;13;132.64;13;credito;30 dias;si
14003;11;371.43;4;credito;30 dias;si
14007;2;66.09;11;credito;15 dias;no
14010;2;108.8;4;credito;30 dias;si
14011;2;73.89;8;credito;15 dias;no
14018;11;25.76;13;contado;3 dias;si
14021;9;62.41;4;credito;15 dias;no
14023;2;316.42;1;credito;30 dias;si
14028;8;56.1;13;credito;15 dias;no
14029;2;38.41;13;contado;3 dias;si
14045;15;74.47;4;credito;15 dias;no
14053;9;116.44;1;credito;30 dias;si
14056;4;80.63;6;credito;15 dias;no
14090;5;39.3;9;contado;3 dias;si
14095;19;68.41;5;credito;15 dias;no
14097;11;34.01;13;contado;3 dias;si
15014;8;87.37;2;credito;15 dias;no
15020;9;107.8;4;credito;30 dias;si
15022;19;117.08;4;credito;30 dias;si
15024;6;64.64;13;credito;15 dias;no
15027;19;35.66;5;contado;3 dias;si
15030;2;41.12;13;contado;3 dias;si
15100;6;643;4;credito;30 dias;si
15103;19;89.49;4;credito;15 dias;no
15127;4;38.07;13;contado;3 dias;si
15144;11;82.86;13;credito;15 dias;no
15146;5;117.59;2;credito;30 dias;si
15152;9;149.31;4;credito;30 dias;si
15157;9;39.11;4;contado;3 dias;si
15163;11;20.39;13;contado;3 dias;si
15166;7;158.47;1;credito;30 dias;si
15182;11;5.26;13;contado;3 dias;si
15203;19;19.25;4;contado;3 dias;si
15230;11;64.94;13;credito;15 dias;no
15231;11;37.63;13;contado;3 dias;si
15248;5;45.25;13;contado;3 dias;si
15260;15;58.95;2;credito;15 dias;no
15262;15;109.56;4;credito;30 dias;si
15271;11;10.16;13;contado;3 dias;si
15304;11;74.43;13;credito;15 dias;no
15319;18;399;4;credito;30 dias;si
15320;11;90.97;5;credito;15 dias;no
15322;17;30.36;13;contado;3 dias;si
15326;19;12.72;2;contado;3 dias;si
15328;3;196.66;4;credito;30 dias;si
15331;11;508.65;1;credito;30 dias;si
15332;4;117.81;4;credito;30 dias;si
15343;15;91.51;4;credito;15 dias;no
15349;15;37.51;9;contado;3 dias;si
15353;15;28.62;13;contado;3 dias;si
15427;11;11.02;5;contado;3 dias;si
15446;11;79.54;13;credito;15 dias;no
15473;11;14.57;13;contado;3 dias;si
15475;11;173.25;2;credito;30 dias;si
15509;11;31.2;13;contado;3 dias;si
15524;6;25.66;13;contado;3 dias;si
15532;8;79;4;credito;15 dias;no
15539;3;198.88;1;credito;30 dias;si
15540;5;60.09;11;credito;15 dias;no
15541;2;419.61;2;credito;30 dias;si
15544;2;19.96;4;contado;3 dias;si
15545;4;75.56;4;credito;15 dias;no
15548;4;59.67;3;credito;15 dias;no
15549;3;53.93;13;credito;15 dias;no
15562;8;181.44;1;credito;30 dias;si
15563;15;100.9;8;credito;30 dias;si
15570;11;79.14;7;credito;15 dias;no
15572;6;107.65;4;credito;30 dias;si
15582;6;163.79;4;credito;30 dias;si
15583;6;230.39;12;credito;30 dias;si
15584;16;37.41;13;contado;3 dias;si
15585;2;131.96;4;credito;30 dias;si
15601;11;99.3;12;credito;15 dias;no
15605;6;34.45;6;contado;3 dias;si
15610;11;143.82;6;credito;30 dias;si
15611;8;164.9;1;credito;30 dias;si
15615;3;109.41;5;credito;30 dias;si
15616;3;92.54;1;credito;15 dias;no
15617;19;81.93;6;credito;15 dias;no
15618;2;63.13;4;credito;15 dias;no
15619;3;241.09;6;credito;30 dias;si
15620;5;22.45;4;contado;3 dias;si
15621;4;54.37;4;credito;15 dias;no
15622;19;75.34;4;credito;15 dias;no
15623;4;28.68;10;contado;3 dias;si
15624;8;28.38;6;contado;3 dias;si
15625;1;117.32;1;credito;30 dias;si
15627;19;198.89;12;credito;30 dias;si
15629;3;2;13;contado;3 dias;si
15631;3;251.5;9;credito;30 dias;si
15632;3;43.07;11;contado;3 dias;si
15633;15;174.81;9;credito;30 dias;si
15634;11;89.06;11;credito;15 dias;no
15635;11;12.94;13;contado;3 dias;si
15636;11;45.45;13;contado;3 dias;si
15637;11;8.89;13;contado;3 dias;si
15638;11;152.41;4;credito;30 dias;si
15639;11;20.34;13;contado;3 dias;si
15640;11;14.15;13;contado;3 dias;si
15641;11;15.57;13;contado;3 dias;si
15642;11;25.95;13;contado;3 dias;si
15643;11;63.25;6;credito;15 dias;no
15644;11;11.07;13;contado;3 dias;si
15645;11;21.64;13;contado;3 dias;si
15646;11;18.2;13;contado;3 dias;si
15647;11;14.63;13;contado;3 dias;si
15648;11;20.53;13;contado;3 dias;si
15649;11;11.65;13;contado;3 dias;si
15650;11;10.34;13;contado;3 dias;si
15651;11;43.98;13;contado;3 dias;si
15652;11;25.38;13;contado;3 dias;si
15653;11;17.37;13;contado;3 dias;si
15654;11;9.67;13;contado;3 dias;si
15656;11;16.39;13;contado;3 dias;si
15657;11;4.6;13;contado;3 dias;si
15658;11;3.26;13;contado;3 dias;si
15659;11;52.88;12;credito;15 dias;no
15660;6;39.71;13;contado;3 dias;si
15661;6;185.78;4;credito;30 dias;si
15662;11;159.64;1;credito;30 dias;si
15663;3;42.22;13;contado;3 dias;si
15664;4;14.4;13;contado;3 dias;si
15665;19;120.06;4;credito;30 dias;si
15666;11;22.43;13;contado;3 dias;si
15667;11;2;13;contado;3 dias;si
15668;11;20.1;13;contado;3 dias;si
15669;11;21.48;13;contado;3 dias;si
15670;11;70.38;5;credito;15 dias;no
15671;3;16.09;6;contado;3 dias;si
15672;18;21.02;13;contado;3 dias;si
15673;3;233.27;1;credito;30 dias;si
15674;5;55.08;9;credito;15 dias;no
15676;15;19.24;13;contado;3 dias;si
15677;15;37.5;13;contado;3 dias;si
15678;14;46.67;13;credito;15 dias;no
15679;11;29.52;13;contado;3 dias;si
15680;11;51.95;13;credito;15 dias;no
15681;9;137.73;12;credito;30 dias;si
15682;13;31.62;13;contado;3 dias;si
15683;13;61.34;11;credito;15 dias;no
15684;13;106.87;13;credito;30 dias;si
15685;15;172.11;1;credito;30 dias;si
15686;5;27.98;13;contado;3 dias;si
15687;11;56.38;5;credito;15 dias;no
15688;3;41.92;13;contado;3 dias;si
15689;5;568.13;9;credito;30 dias;si
15690;19;28.4;4;contado;3 dias;si
15691;1;35.2;13;contado;3 dias;si
15692;7;35.89;13;contado;3 dias;si
15693;11;139.82;11;credito;30 dias;si
15694;19;41.71;13;contado;3 dias;si
15695;7;26.49;13;contado;3 dias;si
15696;5;28.54;13;contado;3 dias;si
15697;3;137.59;4;credito;30 dias;si
15698;3;97.92;9;credito;15 dias;no
15699;15;22.51;13;contado;3 dias;si
15700;3;34.12;13;contado;3 dias;si
15701;6;32.72;12;contado;3 dias;si
15702;6;89.06;4;credito;15 dias;no
15703;6;99.44;4;credito;15 dias;no
16000;6;88.53;8;credito;15 dias;no
16573;17;36.44;13;contado;3 dias;si
16574;15;26.01;13;contado;3 dias;si
16575;5;23.61;13;contado;3 dias;si
16576;5;38.4;13;contado;3 dias;si
16577;10;85.56;13;credito;15 dias;no
16578;14;71.99;13;credito;15 dias;no
16579;1;55.38;8;credito;15 dias;no
16580;9;46.74;13;contado;3 dias;si
16581;5;24.03;13;contado;3 dias;si
16582;15;48.37;13;credito;15 dias;no
16583;3;36;13;contado;3 dias;si
16584;11;19.8;13;contado;3 dias;si
16585;11;22.37;13;contado;3 dias;si
16586;11;16.75;13;contado;3 dias;si
16587;11;23.81;13;contado;3 dias;si
16588;5;10.18;13;contado;3 dias;si
16589;11;9.93;13;contado;3 dias;si
16590;11;9.32;13;contado;3 dias;si
16591;11;21.78;13;contado;3 dias;si
16592;11;17.59;13;contado;3 dias;si
16593;11;57.71;13;credito;15 dias;no
16594;11;36.64;13;contado;3 dias;si
16595;11;82.18;1;credito;15 dias;no
16596;19;115.87;1;credito;30 dias;si
16597;8;52.54;4;credito;15 dias;no
16598;6;301.57;1;credito;30 dias;si
16599;11;21.97;13;contado;3 dias;si
16600;11;29.62;13;contado;3 dias;si
16602;11;15.1;13;contado;3 dias;si
16603;15;128.6;1;credito;30 dias;si
16604;15;184.79;4;credito;30 dias;si
16605;11;120.89;4;credito;30 dias;si
16606;2;110.44;13;credito;30 dias;si
16607;11;204.6;3;credito;30 dias;si
16608;19;7.45;13;contado;3 dias;si
16609;11;27.96;13;contado;3 dias;si
16610;11;14.33;13;contado;3 dias;si
16611;18;120.56;4;credito;30 dias;si
16612;19;511.46;12;credito;30 dias;si
16613;11;73.56;3;credito;15 dias;no
16614;11;72;13;credito;15 dias;no
16615;11;3.08;13;contado;3 dias;si
16616;11;273.59;10;credito;30 dias;si
16617;11;284.28;6;credito;30 dias;si
16618;11;42.94;13;contado;3 dias;si
16619;6;19.92;13;contado;3 dias;si
20926;19;36.98;13;contado;3 dias;si
30066;11;5.75;13;contado;3 dias;si
30322;9;46.99;13;contado;3 dias;si
30374;5;208.33;4;credito;30 dias;si
40382;8;64.23;4;credito;15 dias;no
100001;11;132.41;4;credito;30 dias;si
