cliente;ciudad;valor;tipo.cliente;forma de pago;dias de 1;descuentos especiales
16579;1;55.38;8;1;2;2
16580;9;46.74;13;2;1;1
16581;5;24.03;13;2;1;1
16582;15;48.37;13;1;2;2
16583;3;36;13;2;1;1
16584;11;19.8;13;2;1;1
16585;11;22.37;13;2;1;1
16586;11;16.75;13;2;1;1
16587;11;23.81;13;2;1;1
16588;5;10.18;13;2;1;1
16589;11;9.93;13;2;1;1
16590;11;9.32;13;2;1;1
16591;11;21.78;13;2;1;1
16592;11;17.59;13;2;1;1
16593;11;57.71;13;1;2;2
16594;11;36.64;13;2;1;1
16595;11;82.18;1;1;2;2
16596;19;115.87;1;1;3;1
16597;8;52.54;4;1;2;2
16598;6;301.57;1;1;3;1
16599;11;21.97;13;2;1;1
16600;11;29.62;13;2;1;1
16602;11;15.1;13;2;1;1
16603;15;128.6;1;1;3;1
16604;15;184.79;4;1;3;1
16605;11;120.89;4;1;3;1
16606;2;110.44;13;1;3;1
16607;11;204.6;3;1;3;1
16608;19;7.45;13;2;1;1
16609;11;27.96;13;2;1;1
16610;11;14.33;13;2;1;1
16611;18;120.56;4;1;3;1
16612;19;511.46;12;1;3;1
16613;11;73.56;3;1;2;2
16614;11;72;13;1;2;2
16615;11;3.08;13;2;1;1
16616;11;273.59;10;1;3;1
16617;11;284.28;6;1;3;1
16618;11;42.94;13;2;1;1
16619;6;19.92;13;2;1;1
20926;19;36.98;13;2;1;1
30066;11;5.75;13;2;1;1
30322;9;46.99;13;2;1;1
30374;5;208.33;4;1;3;1
40382;8;64.23;4;1;2;2
100001;11;132.41;4;1;3;1
